date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:56	106/106	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Apr%202025%2023:42:49%20GMT	https://juridia.ma/robots.txt		(from )
14:41:57	188828/188828	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Apr%202025%2023:42:49%20GMT	https://juridia.ma/	C:/Mes%20Sites%20Web/juridia/juridia.ma/index.html	(from )
14:41:58	2264/2264	---M--	405	error ('Not%20Allowed')	text/html	etag:%2267eaa16b-8d8%22	https://juridia.ma/xmlrpc.php	C:/Mes%20Sites%20Web/juridia/juridia.ma/xmlrpc.0.delayed	(from https://juridia.ma/)
14:41:58	79479/79479	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaab07-13677%22	https://juridia.ma/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.2.3	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend950a.css	(from https://juridia.ma/)
14:41:59	1942/1942	---MC-	200	added ('OK')	application/rss+xml	etag:%222e3e96bc2bf41c01afc3262f3ea78b1b%22	https://juridia.ma/feed/	C:/Mes%20Sites%20Web/juridia/juridia.ma/feed/index.html	(from https://juridia.ma/)
14:41:59	1762/1762	---MC-	200	added ('OK')	application/rss+xml	etag:%222e3e96bc2bf41c01afc3262f3ea78b1b%22	https://juridia.ma/comments/feed/	C:/Mes%20Sites%20Web/juridia/juridia.ma/comments/feed/index.html	(from https://juridia.ma/)
14:41:59	98/98	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaa1c4-62%22	https://juridia.ma/wp-content/plugins/app_service_email/public/css/app_service_email-public.css?ver=1.2.1	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/app_service_email/public/css/app_service_email-public1576.css	(from https://juridia.ma/)
14:41:59	776/776	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaab07-308%22	https://juridia.ma/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.2.3	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor950a.css	(from https://juridia.ma/)
14:42:00	53275/53275	---MCZ	200	added ('OK')	text/css	etag:W/%2267eaa5bc-d01b%22	https://juridia.ma/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.28.2	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/plugins/elementor/assets/css/frontend.min414b.css	(from https://juridia.ma/)
14:42:00	1225/1225	---MCZ	200	added ('OK')	text/css	etag:W/%2267ec5f29-4c9%22	https://juridia.ma/wp-content/uploads/elementor/css/post-8.css?ver=1743544105	C:/Mes%20Sites%20Web/juridia/juridia.ma/wp-content/uploads/elementor/css/post-87e9f.css	(from https://juridia.ma/)
